t,count
1507250057,5
1507250062,5
1507250067,5
1507250072,5
1507250077,5
1507250082,5
1507250087,5
1507250092,5
1507250097,5
1507266797,9
1507266802,9
1507266807,9
1507266812,9
1507266817,11
1507266822,24
1507266827,24
1507266832,24
1507266837,24
1507266842,24
1507266847,24
1507266852,24
1507266857,24
1507266862,24
1507266867,39
1507266872,40
1507266877,40
1507266882,40
1507266887,40
1507266892,40
1507266897,40
1507266902,40
1507266907,40
1507266912,40
1507266917,49
1507266922,49
1507266927,49
1507266932,49
1507266937,49
1507266942,49
1507266947,49
1507266952,49
1507266957,49
1507266962,49
1507266967,49
1507266972,49
1507266977,49
1507266982,49
1507266987,49
1507266992,49
1507266997,49
1507267002,49
1507267007,49
1507267012,49
1507267017,49
1507267022,49
1507267027,49
1507267032,49
1507267037,49
1507267042,49
1507267047,49
1507267052,49
1507267057,49
1507267062,49
1507267067,49
1507267072,49
1507267077,49
1507267082,49
1507267087,49
1507267092,49
1507267097,49
1507267102,49
1507267107,49
1507267112,49
1507267117,49
1507267122,49
1507267127,49
1507267132,49
1507267137,49
1507267142,49
1507267147,49
1507267152,49
1507267157,49
1507267162,49
1507267167,49
1507267172,49
1507267177,49
1507267182,49
1507267187,49
1507267192,49
1507267197,49
1507267202,49
1507267207,49
1507267212,49
1507267217,49
1507267222,49
1507267227,49
1507267232,49
1507267237,49
1507267242,49
1507267247,49
1507267252,49
1507267257,49
1507267262,49
1507267267,49
1507267272,49
1507267277,49
1507267282,49
1507267287,49
1507267292,49
1507267297,49
1507267302,49
1507267307,49
1507267312,49
1507267317,49
1507267322,49
1507267327,49
1507267332,49
1507267337,49
1507267342,49
1507267347,49
1507267352,49
1507267357,49
1507267362,49
1507267367,49
1507267372,49
1507267377,49
1507267382,49
1507267387,49
1507267392,49
1507267397,49
1507267402,49
1507267407,49
1507267412,49
1507267417,49
1507267422,49
1507267427,49
1507267432,49
1507267437,49
1507267442,49
1507267447,49
1507267452,49
1507267457,49
1507267462,49
1507267467,49
1507267472,49
1507267477,49
1507267482,49
1507267488,49
1507267493,49
1507267498,49
1507267503,49
1507267508,49
1507267513,49
1507267518,49
1507267523,49
1507267528,49
1507267533,49
1507267538,49
1507267543,49
1507267548,49
1507267553,49
1507267558,49
1507267563,49
1507267568,49
1507267573,49
1507267578,49
1507267583,49
1507267588,49
1507267593,49
1507267598,49
1507267603,49
1507267608,49
1507267613,49
1507267618,49
1507267623,49
1507267628,49
1507267633,49
1507267638,49
1507267643,49
1507267648,49
1507267653,49
1507267658,49
1507267663,49
1507267668,49
1507267673,49
1507267678,49
1507267683,49
1507267688,49
1507267693,49
1507267698,49
1507267703,49
1507267708,49
1507267713,49
1507267718,49
1507267723,49
1507267728,49
1507267733,49
1507267738,49
1507267743,49
1507267748,49
1507267753,49
1507267758,49
1507267763,49
1507267768,49
1507267773,49
1507267778,49
1507267783,49
1507267788,49
1507267793,49
1507267798,49
1507267803,49
1507267808,49
1507267813,49
1507267818,49
1507267823,49
1507267828,49
1507267833,49
1507267838,49
1507267843,49
1507267848,49
1507267853,49
1507267858,49
1507267863,49
1507267868,49
1507267873,49
1507267878,49
1507267883,49
1507267888,49
1507267893,49
1507267898,49
1507267903,49
1507267908,49
1507267913,49
1507267918,49
1507267923,49
1507267928,49
1507267933,49
1507267938,49
1507267943,49
1507267948,49
1507267953,49
1507267958,49
1507267963,49
1507267968,49
1507267973,49
1507267978,49
1507267983,49
1507267988,49
1507267993,49
1507267998,49
1507268003,49
1507268008,49
1507268013,49
1507268018,49
1507268023,49
1507268028,49
1507268033,49
1507268038,49
1507268043,49
1507268048,49
1507268053,49
1507268058,49
1507268063,49
1507268068,49
1507268073,49
1507268078,49
1507268083,49
1507268088,49
1507268093,49
1507268098,49
1507268103,49
1507268108,49
1507268113,49
1507268118,49
1507268123,49
1507268128,49
1507268133,49
1507268138,49
1507268143,49
1507268148,49
1507268153,49
1507268158,49
1507268163,49
1507268168,49
1507268173,49
1507268178,49
1507268183,49
1507268188,49
1507268193,49
1507268198,49
1507268203,49
1507268208,49
1507268213,49
1507268218,49
1507268223,49
1507268228,49
1507268233,49
1507268238,49
1507268243,49
1507268248,49
1507268253,49
1507268258,49
1507268263,49
1507268268,49
1507268273,49
1507268278,49
1507268283,49
1507268288,49
1507268293,49
1507268298,49
1507268303,49
1507268308,49
1507268313,49
1507268318,49
1507268323,49
1507268328,49
1507268333,49
1507268338,49
1507268343,49
1507268348,49
1507268353,49
1507268358,49
1507268363,49
1507268368,49
1507268373,49
1507268378,49
1507268383,49
1507268388,49
1507268393,49
1507268398,49
1507268403,49
1507268408,49
1507268413,49
1507268418,49
1507268423,49
1507268428,49
1507268433,49
1507268438,49
1507268443,49
1507268448,49
1507268453,49
1507268458,49
1507268463,49
1507268468,49
1507268473,49
1507268478,49
1507268483,49
1507268488,49
1507268493,49
1507268498,49
1507268503,49
1507268508,49
1507268513,49
1507268518,49
1507268523,49
1507268528,49
1507268533,49
1507268538,49
1507268543,49
1507268548,49
1507268553,49
1507268558,49
1507268563,49
1507268568,49
1507268573,49
1507268578,49
