t,value
1507266797,5.0
1507266802,5.0
1507266807,5.0
1507266812,5.0
1507266817,3.0
1507266822,2.0
1507266827,2.0
1507266832,2.0
1507266837,2.0
1507266842,2.0
1507266847,2.0
1507266852,2.0
1507266857,2.0
1507266862,2.0
1507266867,2.0
1507266872,2.0
1507266877,2.0
1507266882,2.0
1507266887,2.0
1507266892,2.0
1507266897,2.0
1507266902,2.0
1507266907,2.0
1507266912,2.0
1507266917,2.0
1507266922,2.0
1507266927,2.0
1507266932,2.0
1507266937,2.0
1507266942,2.0
1507266947,2.0
1507266952,2.0
1507266957,2.0
1507266962,2.0
1507266967,2.0
1507266972,2.0
1507266977,2.0
1507266982,2.0
1507266987,2.0
1507266992,2.0
1507266997,2.0
1507267002,2.0
1507267007,2.0
1507267012,2.0
1507267017,2.0
1507267022,2.0
1507267027,2.0
1507267032,2.0
1507267037,2.0
1507267042,2.0
1507267047,2.0
1507267052,2.0
1507267057,2.0
1507267062,2.0
1507267067,2.0
1507267072,2.0
1507267077,2.0
1507267082,2.0
1507267087,2.0
1507267092,2.0
1507267097,2.0
1507267102,2.0
1507267107,2.0
1507267112,2.0
1507267117,2.0
1507267122,2.0
1507267127,2.0
1507267132,2.0
1507267137,2.0
1507267142,2.0
1507267147,2.0
1507267152,2.0
1507267157,2.0
1507267162,2.0
1507267167,2.0
1507267172,2.0
1507267177,2.0
1507267182,2.0
1507267187,2.0
1507267192,2.0
1507267197,2.0
1507267202,2.0
1507267207,2.0
1507267212,2.0
1507267217,2.0
1507267222,2.0
1507267227,2.0
1507267232,2.0
1507267237,2.0
1507267242,2.0
1507267247,2.0
1507267252,2.0
1507267257,2.0
1507267262,2.0
1507267267,2.0
1507267272,2.0
1507267277,2.0
1507267282,2.0
1507267287,2.0
1507267292,2.0
1507267297,2.0
1507267302,2.0
1507267307,2.0
1507267312,2.0
1507267317,2.0
1507267322,2.0
1507267327,2.0
1507267332,2.0
1507267337,2.0
1507267342,2.0
1507267347,2.0
1507267352,2.0
1507267357,2.0
1507267362,2.0
1507267367,2.0
1507267372,2.0
1507267377,2.0
1507267382,2.0
1507267387,2.0
1507267392,2.0
1507267397,2.0
1507267402,2.0
1507267407,2.0
1507267412,2.0
1507267417,2.0
1507267422,2.0
1507267427,2.0
1507267432,2.0
1507267437,2.0
1507267442,2.0
1507267447,2.0
1507267452,2.0
1507267457,2.0
1507267462,2.0
1507267467,2.0
1507267472,2.0
1507267477,2.0
1507267482,2.0
1507267488,2.0
1507267493,2.0
1507267498,2.0
1507267503,2.0
1507267508,2.0
1507267513,2.0
1507267518,2.0
1507267523,2.0
1507267528,2.0
1507267533,2.0
1507267538,2.0
1507267543,2.0
1507267548,2.0
1507267553,2.0
1507267558,2.0
1507267563,2.0
1507267568,2.0
1507267573,2.0
1507267578,2.0
1507267583,2.0
1507267588,2.0
1507267593,2.0
1507267598,2.0
1507267603,2.0
1507267608,2.0
1507267613,2.0
1507267618,2.0
1507267623,2.0
1507267628,2.0
1507267633,2.0
1507267638,2.0
1507267643,2.0
1507267648,2.0
1507267653,2.0
1507267658,2.0
1507267663,2.0
1507267668,2.0
1507267673,2.0
1507267678,2.0
1507267683,2.0
1507267688,2.0
1507267693,2.0
1507267698,2.0
1507267703,2.0
1507267708,2.0
1507267713,2.0
1507267718,2.0
1507267723,2.0
1507267728,2.0
1507267733,2.0
1507267738,2.0
1507267743,2.0
1507267748,2.0
1507267753,2.0
