t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1507250057,5,1.075135,0.000000,0.000000,0.000000,events/second
1507250062,5,0.518236,1.000000,1.000000,1.000000,events/second
1507250067,5,0.341393,0.920044,0.983471,0.994460,events/second
1507250072,5,0.254533,0.846482,0.967216,0.988950,events/second
1507250077,5,0.202888,0.778801,0.951229,0.983471,events/second
1507250082,5,0.168653,0.716531,0.935507,0.978023,events/second
1507250087,5,0.144320,0.659241,0.920044,0.972604,events/second
1507250092,5,0.126119,0.606531,0.904837,0.967216,events/second
1507250097,5,0.111987,0.558035,0.889882,0.961858,events/second
1507266797,9,2.657263,0.000000,0.000000,0.000000,events/second
1507266802,9,1.073811,1.800000,1.800000,1.800000,events/second
1507266807,9,0.672506,1.656080,1.770249,1.790028,events/second
1507266812,9,0.489665,1.523667,1.740989,1.780111,events/second
1507266817,11,0.470445,1.401841,1.712213,1.770249,events/second
1507266822,24,0.845583,1.465659,1.720275,1.772630,events/second
1507266827,24,0.719035,1.412436,1.705065,1.767241,events/second
1507266832,24,0.625350,1.299503,1.676882,1.757450,events/second
1507266837,24,0.553215,1.195601,1.649166,1.747714,events/second
1507266842,24,0.496051,1.100006,1.621908,1.738031,events/second
1507266847,24,0.449615,1.012054,1.595100,1.728402,events/second
1507266852,24,0.411095,0.931135,1.568735,1.718826,events/second
1507266857,24,0.378655,0.856685,1.542806,1.709304,events/second
1507266862,24,0.350991,0.788189,1.517306,1.699834,events/second
1507266867,39,0.531487,0.725169,1.492227,1.690417,events/second
1507266872,40,0.510325,0.923045,1.520454,1.698780,events/second
1507266877,40,0.479730,0.849243,1.495323,1.689369,events/second
1507266882,40,0.452590,0.781341,1.470608,1.680009,events/second
1507266887,40,0.428363,0.718868,1.446301,1.670702,events/second
1507266892,40,0.406582,0.661391,1.422395,1.661446,events/second
1507266897,40,0.386928,0.608509,1.398885,1.652241,events/second
1507266902,40,0.369076,0.559855,1.375764,1.643087,events/second
1507266907,40,0.352787,0.515092,1.353024,1.633985,events/second
1507266912,40,0.337898,0.473907,1.330661,1.624932,events/second
1507266917,49,0.397151,0.436016,1.308667,1.615930,events/second
1507266922,49,0.381681,0.545074,1.316788,1.616949,events/second
1507266927,49,0.367371,0.501492,1.295023,1.607991,events/second
1507266932,49,0.354101,0.461395,1.273618,1.599083,events/second
1507266937,49,0.341748,0.424504,1.252567,1.590224,events/second
1507266942,49,0.330239,0.390562,1.231864,1.581414,events/second
1507266947,49,0.319464,0.359335,1.211503,1.572652,events/second
1507266952,49,0.309379,0.330604,1.191479,1.563940,events/second
1507266957,49,0.299916,0.304170,1.171786,1.555275,events/second
1507266962,49,0.291012,0.279850,1.152418,1.546659,events/second
1507266967,49,0.282617,0.257475,1.133370,1.538090,events/second
1507266972,49,0.274692,0.236888,1.114637,1.529569,events/second
1507266977,49,0.267205,0.217948,1.096214,1.521095,events/second
1507266982,49,0.260113,0.200521,1.078095,1.512667,events/second
1507266987,49,0.253384,0.184489,1.060275,1.504287,events/second
1507266992,49,0.246998,0.169738,1.042751,1.495953,events/second
1507266997,49,0.240929,0.156166,1.025515,1.487665,events/second
1507267002,49,0.235147,0.143680,1.008565,1.479423,events/second
1507267007,49,0.229638,0.132192,0.991895,1.471227,events/second
1507267012,49,0.224382,0.121622,0.975500,1.463076,events/second
1507267017,49,0.219357,0.111898,0.959377,1.454971,events/second
1507267022,49,0.214553,0.102951,0.943520,1.446910,events/second
1507267027,49,0.209956,0.094720,0.927925,1.438894,events/second
1507267032,49,0.205552,0.087146,0.912588,1.430922,events/second
1507267037,49,0.201329,0.080178,0.897504,1.422995,events/second
1507267042,49,0.197279,0.073768,0.882669,1.415111,events/second
1507267047,49,0.193386,0.067870,0.868080,1.407271,events/second
1507267052,49,0.189642,0.062443,0.853732,1.399475,events/second
1507267057,49,0.186045,0.057450,0.839621,1.391721,events/second
1507267062,49,0.182576,0.052857,0.825743,1.384011,events/second
1507267067,49,0.179239,0.048631,0.812095,1.376343,events/second
1507267072,49,0.176019,0.044742,0.798672,1.368718,events/second
1507267077,49,0.172912,0.041165,0.785471,1.361135,events/second
1507267082,49,0.169915,0.037874,0.772489,1.353594,events/second
1507267087,49,0.167019,0.034845,0.759721,1.346095,events/second
1507267092,49,0.164219,0.032059,0.747163,1.338638,events/second
1507267097,49,0.161513,0.029496,0.734814,1.331221,events/second
1507267102,49,0.158895,0.027138,0.722669,1.323846,events/second
1507267107,49,0.156359,0.024968,0.710724,1.316512,events/second
1507267112,49,0.153903,0.022972,0.698977,1.309218,events/second
1507267117,49,0.151525,0.021135,0.687424,1.301965,events/second
1507267122,49,0.149217,0.019445,0.676061,1.294752,events/second
1507267127,49,0.146979,0.017890,0.664887,1.287579,events/second
1507267132,49,0.144807,0.016460,0.653898,1.280445,events/second
1507267137,49,0.142699,0.015144,0.643090,1.273352,events/second
1507267142,49,0.140652,0.013933,0.632460,1.266297,events/second
1507267147,49,0.138662,0.012819,0.622007,1.259281,events/second
1507267152,49,0.136727,0.011794,0.611726,1.252305,events/second
1507267157,49,0.134845,0.010851,0.601615,1.245367,events/second
1507267162,49,0.133015,0.009983,0.591671,1.238467,events/second
1507267167,49,0.131234,0.009185,0.581891,1.231606,events/second
1507267172,49,0.129500,0.008451,0.572274,1.224783,events/second
1507267177,49,0.127811,0.007775,0.562815,1.217997,events/second
1507267182,49,0.126164,0.007153,0.553512,1.211249,events/second
1507267187,49,0.124562,0.006581,0.544364,1.204539,events/second
1507267192,49,0.122997,0.006055,0.535366,1.197866,events/second
1507267197,49,0.121474,0.005571,0.526517,1.191229,events/second
1507267202,49,0.119987,0.005126,0.517815,1.184630,events/second
1507267207,49,0.118535,0.004716,0.509256,1.178067,events/second
1507267212,49,0.117119,0.004339,0.500839,1.171540,events/second
1507267217,49,0.115735,0.003992,0.492561,1.165049,events/second
1507267222,49,0.114385,0.003673,0.484419,1.158595,events/second
1507267227,49,0.113064,0.003379,0.476412,1.152176,events/second
1507267232,49,0.111775,0.003109,0.468538,1.145793,events/second
1507267237,49,0.110514,0.002860,0.460794,1.139445,events/second
1507267242,49,0.109283,0.002632,0.453178,1.133132,events/second
1507267247,49,0.108077,0.002421,0.445687,1.126855,events/second
1507267252,49,0.106898,0.002228,0.438321,1.120612,events/second
1507267257,49,0.105745,0.002049,0.431076,1.114403,events/second
1507267262,49,0.104616,0.001886,0.423951,1.108229,events/second
1507267267,49,0.103511,0.001735,0.416943,1.102090,events/second
1507267272,49,0.102430,0.001596,0.410052,1.095984,events/second
1507267277,49,0.101369,0.001469,0.403274,1.089912,events/second
